,log_file,log_id,meg_file,subject,task
40,sourcedata/meg_task/V1046-4-MEG-MOUS-Vis.log,4,sub-V1046/meg/sub-V1046_task-visual_meg.ds,1046,visual
41,sourcedata/meg_task/V1048-6-MEG-MOUS-Vis.log,6,sub-V1048/meg/sub-V1048_task-visual_meg.ds,1048,visual
42,sourcedata/meg_task/V1049-1-MEG-MOUS-Vis.log,1,sub-V1049/meg/sub-V1049_task-visual_meg.ds,1049,visual
43,sourcedata/meg_task/V1050-2-MEG-MOUS-Vis.log,2,sub-V1050/meg/sub-V1050_task-visual_meg.ds,1050,visual
44,sourcedata/meg_task/V1052-4-MEG-MOUS-Vis.log,4,sub-V1052/meg/sub-V1052_task-visual_meg.ds,1052,visual
45,sourcedata/meg_task/V1053-5-MEG-MOUS-Vis.log,5,sub-V1053/meg/sub-V1053_task-visual_meg.ds,1053,visual
46,sourcedata/meg_task/V1054-6-MEG-MOUS-Vis.log,6,sub-V1054/meg/sub-V1054_task-visual_meg.ds,1054,visual
47,sourcedata/meg_task/V1055-1-MEG-MOUS-Vis.log,1,sub-V1055/meg/sub-V1055_task-visual_meg.ds,1055,visual
48,sourcedata/meg_task/V1057-3-MEG-MOUS-Vis.log,3,sub-V1057/meg/sub-V1057_task-visual_meg.ds,1057,visual
49,sourcedata/meg_task/V1058-4-MEG-MOUS-Vis.log,4,sub-V1058/meg/sub-V1058_task-visual_meg.ds,1058,visual
50,sourcedata/meg_task/V1059-5-MEG-MOUS-Vis.log,5,sub-V1059/meg/sub-V1059_task-visual_meg.ds,1059,visual
51,sourcedata/meg_task/V1061-1-MEG-MOUS-Vis.log,1,sub-V1061/meg/sub-V1061_task-visual_meg.ds,1061,visual
52,sourcedata/meg_task/V1062-2-MEG-MOUS-Vis.log,2,sub-V1062/meg/sub-V1062_task-visual_meg.ds,1062,visual
53,sourcedata/meg_task/V1063-3-MEG-MOUS-Vis.log,3,sub-V1063/meg/sub-V1063_task-visual_meg.ds,1063,visual
54,sourcedata/meg_task/V1064-4-MEG-MOUS-Vis.log,4,sub-V1064/meg/sub-V1064_task-visual_meg.ds,1064,visual
55,sourcedata/meg_task/V1065-5-MEG-MOUS-Vis.log,5,sub-V1065/meg/sub-V1065_task-visual_meg.ds,1065,visual
56,sourcedata/meg_task/V1066-6-MEG-MOUS-Vis.log,6,sub-V1066/meg/sub-V1066_task-visual_meg.ds,1066,visual
57,sourcedata/meg_task/V1068-2-MEG-MOUS-Vis.log,2,sub-V1068/meg/sub-V1068_task-visual_meg.ds,1068,visual
58,sourcedata/meg_task/V1069-3-MEG-MOUS-Vis.log,3,sub-V1069/meg/sub-V1069_task-visual_meg.ds,1069,visual
59,sourcedata/meg_task/V1070-4-MEG-MOUS-Vis.log,4,sub-V1070/meg/sub-V1070_task-visual_meg.ds,1070,visual
60,sourcedata/meg_task/V1071-5-MEG-MOUS-Vis.log,5,sub-V1071/meg/sub-V1071_task-visual_meg.ds,1071,visual
61,sourcedata/meg_task/V1072-6-MEG-MOUS-Vis.log,6,sub-V1072/meg/sub-V1072_task-visual_meg.ds,1072,visual
62,sourcedata/meg_task/V1073-1-MEG-MOUS-Vis.log,1,sub-V1073/meg/sub-V1073_task-visual_meg.ds,1073,visual
63,sourcedata/meg_task/V1074-2-MEG-MOUS-Vis.log,2,sub-V1074/meg/sub-V1074_task-visual_meg.ds,1074,visual
64,sourcedata/meg_task/V1075-3-MEG-MOUS-Vis.log,3,sub-V1075/meg/sub-V1075_task-visual_meg.ds,1075,visual
65,sourcedata/meg_task/V1076-4-MEG-MOUS-Vis.log,4,sub-V1076/meg/sub-V1076_task-visual_meg.ds,1076,visual
66,sourcedata/meg_task/V1077-5-MEG-MOUS-Vis.log,5,sub-V1077/meg/sub-V1077_task-visual_meg.ds,1077,visual
67,sourcedata/meg_task/V1078-6-MEG-MOUS-Vis.log,6,sub-V1078/meg/sub-V1078_task-visual_meg.ds,1078,visual
68,sourcedata/meg_task/V1079-1-MEG-MOUS-Vis.log,1,sub-V1079/meg/sub-V1079_task-visual_meg.ds,1079,visual
69,sourcedata/meg_task/V1080-2-MEG-MOUS-Vis.log,2,sub-V1080/meg/sub-V1080_task-visual_meg.ds,1080,visual
70,sourcedata/meg_task/V1081-3-MEG-MOUS-Vis.log,3,sub-V1081/meg/sub-V1081_task-visual_meg.ds,1081,visual
71,sourcedata/meg_task/V1083-5-MEG-MOUS-Vis.log,5,sub-V1083/meg/sub-V1083_task-visual_meg.ds,1083,visual
72,sourcedata/meg_task/V1084-6-MEG-MOUS-Vis.log,6,sub-V1084/meg/sub-V1084_task-visual_meg.ds,1084,visual
73,sourcedata/meg_task/V1085-1-MEG-MOUS-Vis.log,1,sub-V1085/meg/sub-V1085_task-visual_meg.ds,1085,visual
74,sourcedata/meg_task/V1086-2-MEG-MOUS-Vis.log,2,sub-V1086/meg/sub-V1086_task-visual_meg.ds,1086,visual
75,sourcedata/meg_task/V1087-3-MEG-MOUS-Vis.log,3,sub-V1087/meg/sub-V1087_task-visual_meg.ds,1087,visual
76,sourcedata/meg_task/V1088-4-MEG-MOUS-Vis.log,4,sub-V1088/meg/sub-V1088_task-visual_meg.ds,1088,visual
77,sourcedata/meg_task/V1089-5-MEG-MOUS-Vis.log,5,sub-V1089/meg/sub-V1089_task-visual_meg.ds,1089,visual
78,sourcedata/meg_task/V1090-6-MEG-MOUS-Vis.log,6,sub-V1090/meg/sub-V1090_task-visual_meg.ds,1090,visual
79,sourcedata/meg_task/V1092-2-MEG-MOUS-Vis.log,2,sub-V1092/meg/sub-V1092_task-visual_meg.ds,1092,visual
80,sourcedata/meg_task/V1093-3-MEG-MOUS-Vis.log,3,sub-V1093/meg/sub-V1093_task-visual_meg.ds,1093,visual
81,sourcedata/meg_task/V1094-4-MEG-MOUS-Vis.log,4,sub-V1094/meg/sub-V1094_task-visual_meg.ds,1094,visual
82,sourcedata/meg_task/V1095-5-MEG-MOUS-Vis.log,5,sub-V1095/meg/sub-V1095_task-visual_meg.ds,1095,visual
83,sourcedata/meg_task/V1097-1-MEG-MOUS-Vis.log,1,sub-V1097/meg/sub-V1097_task-visual_meg.ds,1097,visual
84,sourcedata/meg_task/V1098-2-MEG-MOUS-Vis.log,2,sub-V1098/meg/sub-V1098_task-visual_meg.ds,1098,visual
85,sourcedata/meg_task/V1099-4-MEG-MOUS-Vis.log,4,sub-V1099/meg/sub-V1099_task-visual_meg.ds,1099,visual
86,sourcedata/meg_task/V1100-1-MEG-MOUS-Vis.log,1,sub-V1100/meg/sub-V1100_task-visual_meg.ds,1100,visual
87,sourcedata/meg_task/V1101-5-MEG-MOUS-Vis.log,5,sub-V1101/meg/sub-V1101_task-visual_meg.ds,1101,visual
88,sourcedata/meg_task/V1102-6-MEG-MOUS-Vis.log,6,sub-V1102/meg/sub-V1102_task-visual_meg.ds,1102,visual
89,sourcedata/meg_task/V1103-1-MEG-MOUS-Vis.log,1,sub-V1103/meg/sub-V1103_task-visual_meg.ds,1103,visual
90,sourcedata/meg_task/V1104-2-MEG-MOUS-Vis.log,2,sub-V1104/meg/sub-V1104_task-visual_meg.ds,1104,visual
91,sourcedata/meg_task/V1105-1-MEG-MOUS-Vis.log,1,sub-V1105/meg/sub-V1105_task-visual_meg.ds,1105,visual
92,sourcedata/meg_task/V1106-4-MEG-MOUS-Vis.log,4,sub-V1106/meg/sub-V1106_task-visual_meg.ds,1106,visual
93,sourcedata/meg_task/V1107-5-MEG-MOUS-Vis.log,5,sub-V1107/meg/sub-V1107_task-visual_meg.ds,1107,visual
